country,GDP,population,regime,women_government,women_population,law_group,law_subgroup,value,total,weighted
Afghanistan,2078.479082,40099460.0,0.0,27.01612903,48.68452072,indecent exposure,indecent exposure,10,13725,7.285974499089253
Aland Islands,,,,,,indecent exposure,indecent exposure,0,153,0.0
Albania,13632.18654,2854710.0,1.0,35.71428571,49.10299683,indecent exposure,indecent exposure,0,8406,0.0
Algeria,11323.31222,44177964.0,1.0,8.108108108,49.47940445,indecent exposure,indecent exposure,8,7237,11.054304269725025
American Samoa,,45056.0,,,,indecent exposure,indecent exposure,3,2971,10.097610232245035
Andorra,,79057.0,,46.42857143,,indecent exposure,indecent exposure,2,1983,10.085728693898135
Angola,6478.332182,34503776.0,1.0,29.54545455,50.52413559,indecent exposure,indecent exposure,2,5663,3.5316969803990816
Anguilla,,15779.0,,,,indecent exposure,indecent exposure,0,2806,0.0
Antarctica,,,,,,indecent exposure,indecent exposure,2,3852,5.192107995846314
Antigua and Barbuda,18240.38041,93229.0,,11.11111111,51.73086166,indecent exposure,indecent exposure,0,2564,0.0
Argentina,20769.03238,45276788.0,2.0,44.74708171,51.21414566,indecent exposure,indecent exposure,5,62729,0.7970795007094008
Armenia,13311.02814,2790971.0,2.0,33.64485981,52.96533966,indecent exposure,indecent exposure,2,5124,3.9032006245121
Aruba,31182.83388,106543.0,,,52.56729507,indecent exposure,indecent exposure,0,1667,0.0
Australia,53316.88543,25921094.0,3.0,31.12582781,50.20123672,indecent exposure,indecent exposure,480,1430531,3.3553974013845207
Austria,55685.97029,8922086.0,2.0,40.43715847,50.70515442,indecent exposure,indecent exposure,33,41634,7.926214151895086
Azerbaijan,14478.52445,10312992.0,1.0,18.18181818,50.04855728,indecent exposure,indecent exposure,0,5253,0.0
Bahamas,,407920.0,,,51.40649033,indecent exposure,indecent exposure,0,6916,0.0
Bahrain,43821.12449,1463266.0,0.0,15.0,35.32645798,indecent exposure,indecent exposure,1,3795,2.6350461133069825
Bangladesh,5995.407429,169356240.0,1.0,20.85714286,49.44476318,indecent exposure,indecent exposure,9,19737,4.559963520291838
Barbados,14045.77283,281204.0,3.0,20.0,51.60124207,indecent exposure,indecent exposure,2,4963,4.029820672980052
Belarus,20237.55113,9578172.0,1.0,40.0,53.44250488,indecent exposure,indecent exposure,4,3673,10.890280424720936
Belgium,53070.21482,11611416.0,3.0,42.0,50.4355011,indecent exposure,indecent exposure,47,46594,10.087135682705927
Belize,6165.849669,400037.0,,12.5,50.26394653,indecent exposure,indecent exposure,0,6585,0.0
Benin,3505.138455,12996901.0,1.0,8.43373494,50.06063461,indecent exposure,indecent exposure,7,3497,20.017157563625965
